scope,block,field,persisted,validated,renderer_read,direct_typed_authoring,meta_kind,macro_reachable,normal_ui,advanced_ui,dependency,behavioral_status,evidence_test
canonical_fx_109,fx,flow_center_x,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,flow_center_y,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,rgb_shift_amount,yes,yes,yes,verified,amount,heuristic-template,no,yes,-,verified:capability_parity,capability_parity
canonical_fx_109,fx,rgb_shift_angle,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,rgb_shift_units,yes,yes,yes,heuristic,option,no,no,yes,-,open,
canonical_fx_109,fx,rgb_shift_alpha,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,temporal_hold,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,palette_strategy,yes,yes,yes,verified,option,no,no,yes,-,verified:palette_contract,palette_contract
canonical_fx_109,fx,palette_lock_a,yes,yes,yes,heuristic,check,no,no,yes,-,open,
canonical_fx_109,fx,palette_lock_b,yes,yes,yes,heuristic,check,no,no,yes,-,open,
canonical_fx_109,fx,palette_swap,yes,yes,yes,heuristic,check,no,no,yes,-,open,
canonical_fx_109,fx,palette_source_color,yes,yes,yes,heuristic,color,no,no,yes,-,open,
canonical_fx_109,fx,palette_hue_offset,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,palette_saturation,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,palette_value,yes,yes,yes,heuristic,amount,no,no,yes,-,open,
canonical_fx_109,fx,time_source,yes,yes,yes,heuristic,option,no,no,yes,-,open,
full_authoring_surface,layer,type,yes,heuristic-gap,yes,heuristic,MISSING,no,yes,yes,-,open,
full_authoring_surface,layer,name,yes,heuristic-gap,no,heuristic,MISSING,no,yes,yes,-,open,
full_authoring_surface,layer,layer_id,yes,yes,yes,heuristic,MISSING,no,yes,yes,-,open,
full_authoring_surface,layer,enabled,yes,yes,yes,heuristic,MISSING,heuristic-template,yes,yes,-,open,
full_authoring_surface,layer,locked,yes,heuristic-gap,no,heuristic,MISSING,no,yes,yes,-,open,
full_authoring_surface,layer,opacity,yes,yes,yes,heuristic,MISSING,no,yes,yes,-,open,
full_authoring_surface,layer,blend_mode,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,layer,plane,yes,heuristic-gap,yes,heuristic,MISSING,heuristic-template,yes,yes,-,open,
full_authoring_surface,layer,input,yes,heuristic-gap,yes,heuristic,MISSING,heuristic-template,no,yes,-,open,
full_authoring_surface,transform,position_px,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,transform,scale,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,transform,rotation_deg,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,transform,pivot,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,transform,flip_x,yes,heuristic-gap,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,transform,flip_y,yes,heuristic-gap,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,enabled,yes,yes,yes,heuristic,MISSING,heuristic-template,yes,yes,-,open,
full_authoring_surface,displacement,driver,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,amount_px,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,scale,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,speed,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,phase,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,seed,yes,heuristic-gap,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,time_source,yes,yes,yes,heuristic,option,no,no,yes,-,open,
full_authoring_surface,displacement,angle_deg,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,edge_mode,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,displacement,custom_texture,yes,yes,yes,heuristic,MISSING,no,no,yes,asset/incomplete-state,open,
full_authoring_surface,displacement,influence_mask,yes,yes,yes,heuristic,MISSING,no,no,yes,asset/incomplete-state,open,
full_authoring_surface,mask,enabled,yes,yes,yes,heuristic,MISSING,heuristic-template,yes,yes,-,open,
full_authoring_surface,mask,source,yes,yes,yes,heuristic,MISSING,heuristic-template,no,yes,-,open,
full_authoring_surface,mask,region,yes,yes,yes,heuristic,MISSING,heuristic-template,no,yes,-,open,
full_authoring_surface,mask,space,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,mask,expand_contract_px,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,mask,width_px,yes,yes,yes,heuristic,MISSING,heuristic-template,no,yes,-,open,
full_authoring_surface,mask,feather_px,yes,yes,yes,heuristic,MISSING,heuristic-template,no,yes,-,open,
full_authoring_surface,mask,invert,yes,heuristic-gap,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,mask,custom_mask,yes,yes,yes,heuristic,MISSING,no,no,yes,asset/incomplete-state,open,
full_authoring_surface,motion,enabled,yes,yes,yes,heuristic,MISSING,heuristic-template,yes,yes,-,open,
full_authoring_surface,motion,tracks,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,anchor,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,anchor_time,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,delay,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,attack,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,hold,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,release,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,sustain,yes,yes,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,attack_curve,yes,heuristic-gap,yes,heuristic,MISSING,no,no,yes,-,open,
full_authoring_surface,motion.track,release_curve,yes,heuristic-gap,yes,heuristic,MISSING,no,no,yes,-,open,
